Food_code,Food_name,E_kcal,Prot_g,RAE_μg,VitC_mg,Thiamin_mg,Riboflavin_mg,Nia_mg,Fol_μg,VitB12_μg,Ca_mg,Fe_mg,Zn_mg
MZF0077,"tangerine, peeled, fresh,56,0.8,9,26.7,0.06,0.04,0.38,16",56,0.8,9,26.7,0.06,0.04,0.38,16,0.00,37,0.15,0.07
MZF0078," tubi, Parinari curatellifolia, peeled, fresh,84,0.7,0,2.8,0.00,0.00,0.00",84,0.7,0,2.8,0.00,0.00,0.00,,0.00,28,0.12,0.13
MZF0079,"watermelon, peeled, fresh,30,0.9,5,6.0,0.03,0.01,0.20,4",30,0.9,5,6.0,0.03,0.01,0.20,4,0.00,3,0.10,0.09
MZF0259,"wild fruit, average,99,1.3,252,2.8,0.03,0.00,0.46,20,0.00",99,1.3,252,2.8,0.03,0.00,0.46,20,0.00,28,0.12,0.13
MZF0296,"clam, raw,83,14.7,90,0.0,0.02,0.04,0.35,5,11.28",83,14.7,90,0.0,0.02,0.04,0.35,5,11.28,39,1.62,0.51
MZF0041,"cod, dried, salted,276,62.8,42,3.5,0.27,0.24,7.50,25",276,62.8,42,3.5,0.27,0.24,7.50,25,10.00,160,2.50,1.59
MZF0294,"crab, raw,86,18.5,45,7.0,0.08,0.20,2.50,44,9.00",86,18.5,45,7.0,0.08,0.20,2.50,44,9.00,26,2.50,2.80
MZF0043,"dried fish, average, boiled, includes small bones,129,27.7,0,,0.02,0.08,1.29",129,27.7,0,,0.02,0.08,1.29,5,6.06,96,15.65,3.23
MZF0231,"dried fish, average, includes small bones,255,54.7,0,,0.04,0.18,2.62,10",255,54.7,0,,0.04,0.18,2.62,10,12.12,185,33.56,6.39
MZF0238,"fish, raw, average, includes some small bones,113,19.9,10,2.0,0.06,0.18,4.38",113,19.9,10,2.0,0.06,0.18,4.38,13,3.43,427,4.28,1.10
MZF0044,"mackerel, raw,151,20.1,19,2.0,0.11,0.42,8.32,2,4.40",151,20.1,19,2.0,0.11,0.42,8.32,2,4.40,23,1.16,0.67
MZF0046,"madambane, dried, boiled, includes bones,127,27.4,0,,0.00,0.00,0.67",127,27.4,0,,0.00,0.00,0.67,5,4.86,115,3.10,3.00
MZF0227,"madambane, dried, includes bones,193,41.6,0,,0.00,0.00,1.01,7",193,41.6,0,,0.00,0.00,1.01,7,7.38,175,4.70,4.55
MZF0047,"mirosse, dried, boiled, includes bones,142,30.0,0,,0.00,0.00,1.92",142,30.0,0,,0.00,0.00,1.92,5,7.25,107,18.50,3.80
MZF0228,"mirosse, dried, includes bones,265,56.0,0,,0.00,0.00,3.58,9",265,56.0,0,,0.00,0.00,3.58,9,13.53,200,34.53,7.09
MZF0049,"pendhe, dried, boiled, includes small bones,126,28.0,0,,0.08,0.29,1.29",126,28.0,0,,0.08,0.29,1.29,5,6.06,61,10.40,3.00
MZF0229,"pendhe, dried, includes small bones,277,61.5,0,,0.18,0.64,2.84,11",277,61.5,0,,0.18,0.64,2.84,11,13.30,134,22.84,6.59
MZF0050,"sarabuanha, dried, boiled, includes bones,122,25.4,0,,0.00,0.04,1.29",122,25.4,0,,0.00,0.04,1.29,5,6.06,99,30.60,3.10
MZF0230,"sarabuanha, dried, includes bones,287,59.9,0,,0.00,0.09,3.05,11",287,59.9,0,,0.00,0.09,3.05,11,14.28,233,72.17,7.31
MZF0051,"sardine, canned in oil, drained, includes bones,201,24.6,32,0.0,0.08,0.23,5.25",201,24.6,32,0.0,0.08,0.23,5.25,10,8.94,382,2.92,1.31
MZF0226,"shrimp, dried,301,55.8,5,0.0,0.03,0.07,2.80,70,5.00",301,55.8,5,0.0,0.03,0.07,2.80,70,5.00,1200,21.30,3.70
MZF0053,"shrimp, raw,101,20.3,54,2.0,0.03,0.03,2.55,3,1.16",101,20.3,54,2.0,0.03,0.03,2.55,3,1.16,52,2.41,1.11
MZF0275,"squid, raw,88,15.6,10,4.7,0.02,0.41,2.18,5,1.30",88,15.6,10,4.7,0.02,0.41,2.18,5,1.30,32,0.68,1.53
MZF0237,"tilapia, raw, includes some small bones,96,20.5,0,,0.05,0.12,3.90,24",96,20.5,0,,0.05,0.12,3.90,24,1.58,34,3.06,0.99
MZF0054,"tuna, canned in oil, drained, salted,179,26.5,5,0.0,0.02,0.08,11.70",179,26.5,5,0.0,0.02,0.08,11.70,5,2.20,4,0.65,0.47
MZF0055,"tuna, canned in water, drained, salted,122,23.6,6,0.0,0.01,0.04,5.80",122,23.6,6,0.0,0.01,0.04,5.80,2,1.17,14,0.97,0.48
MZF0276,"whelk, raw,132,23.8,26,4.0,0.03,0.11,1.05,6,9.07",132,23.8,26,4.0,0.03,0.11,1.05,6,9.07,57,5.03,1.63
MZF0285,"antilope, meat, raw,109,22.4,0,0.0,0.10,0.32,4.10,15",109,22.4,0,0.0,0.10,0.32,4.10,15,1.80,3,3.19,1.28
MZF0112,"beef, meat, raw,204,19.2,0,0.0,0.16,0.13,5.40,10",204,19.2,0,0.0,0.16,0.13,5.40,10,1.00,13,0.70,3.42
MZF0113,"beef, meat, raw, (animal over 4 years old),253,18.4,0,0.0,0.10,0.11,4.10",253,18.4,0,0.0,0.10,0.11,4.10,15,1.80,14,1.90,3.53
MZF0291,"chicken liver, raw,114,16.9,3296,17.9,0.31,1.78,9.73,588,16.58",114,16.9,3296,17.9,0.31,1.78,9.73,588,16.58,8,8.99,2.67
MZF0289,"chicken, meat with skin, raw,197,18.9,9,1.6,0.11,0.08,4.64,2",197,18.9,9,1.6,0.11,0.08,4.64,2,0.30,10,1.20,2.00
MZF0284,"duck, meat with skin, raw,395,11.5,50,2.8,0.20,0.21,3.93,13",395,11.5,50,2.8,0.20,0.21,3.93,13,0.25,11,2.40,1.36
MZF0124,"egg, chicken, whole, raw,147,12.6,67,0.0,0.13,0.40,0.10",147,12.6,67,0.0,0.13,0.40,0.10,46,1.90,39,1.80,1.15
MZF0283,"egg, duck, whole, raw,180,12.8,194,0.0,0.16,0.40,0.20",180,12.8,194,0.0,0.16,0.40,0.20,80,5.40,64,3.85,1.41
MZF0125,"goat, meat, raw,149,19.5,36,0.0,0.25,0.15,4.90,5",149,19.5,36,0.0,0.25,0.15,4.90,5,1.13,10,1.95,4.00
MZF0127,"ham, canned,184,17.0,0,0.0,0.21,0.96,3.22,5,0.78",184,17.0,0,0.0,0.21,0.96,3.22,5,0.78,6,0.83,1.66
MZF0267,polony,302,15.2,25,0.8,0.22,0.19,2.52,6,1.82,85,1.21,2.30
MZF0128,"pork, meat, raw,209,19.0,2,0.5,0.18,0.84,4.50,5",209,19.0,2,0.5,0.18,0.84,4.50,5,0.66,19,0.86,2.01
MZF0292,"rabbit, meat, raw,109,21.8,0,0.0,0.25,0.03,6.50,8",109,21.8,0,0.0,0.25,0.03,6.50,8,7.16,13,1.57,1.57
MZF0270,"rodent, meat, raw,115,21.2,0,0.0,0.25,0.07,4.00,6",115,21.2,0,0.0,0.25,0.07,4.00,6,1.80,2,4.70,1.54
MZF0140,"veal, meat, raw,139,21.4,0,0.0,0.25,0.13,5.50,6",139,21.4,0,0.0,0.25,0.13,5.50,6,1.80,18,0.60,1.54
MZF0142,"cheese, cheddar,393,24.7,351,0.0,0.04,0.36,0.10,18,0.80",393,24.7,351,0.0,0.04,0.36,0.10,18,0.80,788,0.70,3.93
