District,Category,Male,Female
rumphi,Niacin (mg.),81.83690069493143,70.92407936548477
rumphi,Proteins (g.),98.60180160044573,94.73289386181936
rumphi,Riboflavin (mg.),67.97003364144035,55.91773222284555
rumphi,Thiamin (mg.),93.50536370060952,90.98856262742667
rumphi,Vitamin A (mcg.),68.00174699300088,59.64836976531353
rumphi,Vitamin B12 (mcg.),63.0410971374456,33.7764479699027
rumphi,Vitamin B6 (mg.),95.90091071940624,91.33008678315562
rumphi,Vitamin C (mg.),95.4256847537587,92.71103100523496
rumphi,Zinc (mg.),93.92797348425312,88.8829259973367
chiladzulu,Calcium (mg.),97.1397306742998,93.89030524094534
chiladzulu,Folate (mcg.),86.1159664722373,87.63896597300041
chiladzulu,Iron (mg.),99.8413158754168,99.83862062159643
chiladzulu,Kilocalories (kcal),91.1076911945696,89.56822967513828
chiladzulu,Niacin (mg.),74.71957637092376,74.68920571423327
chiladzulu,Proteins (g.),98.27525290760802,96.22974104978388
chiladzulu,Riboflavin (mg.),61.19210091486362,62.80193162450455
chiladzulu,Thiamin (mg.),97.40425838885336,95.47267126648262
chiladzulu,Vitamin A (mcg.),60.64722715684184,59.77830158777419
chiladzulu,Vitamin B12 (mcg.),32.53491397051115,28.35513845865359
chiladzulu,Vitamin B6 (mg.),94.45406546547534,92.76999390712494
chiladzulu,Vitamin C (mg.),92.2125697379134,92.15979004790752
chiladzulu,Zinc (mg.),94.35650885211555,91.4559479784162
lilongwe city,Calcium (mg.),98.16597606267378,96.71884379919317
lilongwe city,Folate (mcg.),87.56457992688182,89.16194353900221
lilongwe city,Iron (mg.),99.8273769590924,99.08955301716396
lilongwe city,Kilocalories (kcal),91.14860659179622,88.52433679376193
lilongwe city,Niacin (mg.),74.93590821001196,72.58936705701245
lilongwe city,Proteins (g.),98.62267818091254,96.3027252918842
lilongwe city,Riboflavin (mg.),58.72277626995908,57.37969122527206
lilongwe city,Thiamin (mg.),93.80661530378362,92.57867989572318
lilongwe city,Vitamin A (mcg.),60.13121695716281,59.63835808463312
lilongwe city,Vitamin B12 (mcg.),56.84917256884293,47.09183952448407
lilongwe city,Vitamin B6 (mg.),93.71043989879412,90.1830039715913
lilongwe city,Vitamin C (mg.),96.05556207579475,95.5923519687598
lilongwe city,Zinc (mg.),93.46728130138032,90.5212555044386
ntcheu,Calcium (mg.),91.73531340125274,88.32086165539026
ntcheu,Folate (mcg.),84.98490629739557,84.12057026585822
ntcheu,Iron (mg.),98.9778797152386,96.86393591686053
ntcheu,Kilocalories (kcal),87.42864569591994,87.307390533138
ntcheu,Niacin (mg.),76.4173692535889,76.47860555759233
ntcheu,Proteins (g.),97.55208891157044,95.92521411625631
ntcheu,Riboflavin (mg.),63.12838743722261,57.79852175433521
ntcheu,Thiamin (mg.),94.45151190611392,93.47155640128712
